21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:56.406 > 681,418
21:17:56.406 > 436,180
21:17:56.406 > 181,-73
21:17:56.406 > -53,-332
21:17:56.406 > -299,-556
21:17:56.406 > -548,-799
21:17:56.406 > -779,-1011
21:17:56.406 > -969,-1155
21:17:56.417 > -1110,-1247
21:17:56.417 > -1213,-1288
21:17:56.417 > -1275,-1279
21:17:56.417 > -1269,-1226
21:17:56.417 > -1206,-1140
21:17:56.417 > -1106,-980
21:17:56.417 > -967,-803
21:17:56.417 > -786,-622
21:17:56.417 > -562,-343
21:17:56.417 > -296,-75
21:17:56.417 > -50,175
21:17:56.417 > 181,464
21:17:56.428 > 436,674
21:17:56.428 > 687,865
21:17:56.428 > 895,1043
21:17:56.428 > 1046,1447
21:17:56.428 > 1163,1218
21:17:56.428 > 1242,1255
21:17:56.428 > 1276,1261
21:17:56.428 > 1267,1181
21:17:56.428 > 1203,1091
21:17:56.428 > 1093,918
21:17:56.428 > 949,724
21:17:56.428 > 746,478
21:17:56.428 > 492,223
21:17:56.428 > 233,-61
21:17:56.439 > -19,-284
21:17:56.439 > -264,-508
21:17:56.439 > -494,-724
21:17:56.439 > -721,-934
21:17:56.439 > -914,-1094
21:17:56.439 > -1063,-1211
21:17:56.439 > -1182,-1271
21:17:56.439 > -1262,-1311
21:17:56.439 > -1292,-1280
21:17:56.439 > -1251,-1196
21:17:56.439 > -1148,-1025
21:17:56.439 > -1000,-855
21:17:56.450 > -826,-627
21:17:56.450 > -601,-384
21:17:56.450 > -348,-138
21:17:56.450 > -121,112
21:17:56.450 > 106,353
21:17:56.450 > 352,557
21:17:56.450 > 581,794
21:17:56.450 > 805,1000
21:17:56.450 > 1006,1151
21:17:56.450 > 1150,1250
21:17:56.450 > 1261,1287
21:17:56.450 > 1312,1268
21:17:56.450 > 1282,1218
21:17:56.461 > 1204,1092
21:17:56.461 > 1099,930
21:17:56.461 > 950,739
21:17:56.461 > 769,577
21:17:56.461 > 532,296
21:17:56.461 > 285,45
21:17:56.461 > 69,-185
21:17:56.461 > -159,-441
21:17:56.461 > -421,-680
21:17:56.461 > -683,-902
21:17:56.461 > -895,-1084
21:17:56.461 > -1065,-1216
21:17:56.461 > -1186,-1260
21:17:56.461 > -1244,-1283
21:17:56.472 > -1259,-1258
21:17:56.472 > -1237,-1189
21:17:56.472 > -1149,-1056
21:17:56.472 > -1035,-880
21:17:56.472 > -890,-719
21:17:56.472 > -714,-463
21:17:56.472 > -485,-225
21:17:56.472 > -201,65
21:17:56.472 > 62,308
21:17:56.472 > 313,542
21:17:56.472 > 555,783
21:17:56.472 > 788,975
21:17:56.472 > 967,1109
21:17:56.483 > 1104,1184
21:17:56.483 > 1211,1266
21:17:56.483 > 1256,1238
21:17:56.483 > 1270,1238
21:17:56.483 > 1233,1143
21:17:56.483 > 1145,1005
21:17:56.483 > 1007,838
21:17:56.483 > 843,625
21:17:56.483 > 617,348
21:17:56.483 > 355,82
21:17:56.483 > 113,-148
21:17:56.483 > -145,-422
21:17:56.483 > -390,-608
21:17:56.483 > -611,-843
21:17:56.495 > -813,-1010
21:17:56.495 > -1003,-1156
21:17:56.495 > -1131,-1236
21:17:56.495 > -1225,-1301
21:17:56.495 > -1282,-1317
21:17:56.495 > -1274,-1222
21:17:56.495 > -1222,-1125
21:17:56.495 > -1101,-928
21:17:56.495 > -926,-739
21:17:56.495 > -721,-510
21:17:56.495 > -489,-256
21:17:56.505 > -229,7
21:17:56.505 > -2,227
21:17:56.505 > 227,449
21:17:56.505 > 478,715
21:17:56.505 > 699,905
21:17:56.505 > 903,1097
21:17:56.505 > 1077,1202
21:17:56.505 > 1211,1265
21:17:56.505 > 1271,1288
21:17:56.505 > 1290,1265
21:17:56.505 > 1260,1172
21:17:56.505 > 1167,1002
21:17:56.505 > 1036,885
21:17:56.505 > 856,649
21:17:56.505 > 660,415
21:17:56.517 > 433,166
21:17:56.517 > 186,-63
21:17:56.517 > -71,-311
21:17:56.517 > -314,-537
21:17:56.517 > -550,-797
21:17:56.517 > -783,-1015
21:17:56.517 > -978,-1107
21:17:56.517 > -1137,-1258
21:17:56.517 > -1233,-1287
21:17:56.517 > -1271,-1280
21:17:56.517 > -1262,-1221
21:17:56.517 > -1219,-1124
21:17:56.528 > -1119,-975
21:17:56.528 > -972,-803
21:17:56.528 > -795,-621
21:17:56.528 > -571,-299
21:17:56.528 > -328,-89
21:17:56.528 > -81,178
21:17:56.528 > 170,430
21:17:56.528 > 426,671
21:17:56.528 > 648,877
21:17:56.528 > 867,1050
21:17:56.528 > 1050,1162
21:17:56.528 > 1168,1226
21:17:56.528 > 1258,1302
21:17:56.528 > 1274,1250
21:17:56.539 > 1240,1190
21:17:56.539 > 1182,1084
21:17:56.539 > 1087,932
21:17:56.539 > 922,735
21:17:56.539 > 724,515
21:17:56.539 > 493,232
21:17:56.539 > 232,-50
21:17:56.539 > -17,-226
21:17:56.539 > -272,-512
21:17:56.539 > -510,-716
21:17:56.539 > -732,-952
21:17:56.539 > -915,-1085
21:17:56.539 > -1081,-1205
21:17:56.550 > -1202,-1256
21:17:56.550 > -1261,-1295
21:17:56.550 > -1286,-1288
21:17:56.550 > -1243,-1142
21:17:56.550 > -1159,-1026
21:17:56.550 > -1022,-846
21:17:56.550 > -840,-634
21:17:56.550 > -617,-377
21:17:56.550 > -382,-141
21:17:56.550 > -128,122
21:17:56.550 > 120,357
21:17:56.550 > 358,559
21:17:56.561 > 586,844
21:17:56.561 > 799,1005
21:17:56.561 > 996,1143
21:17:56.561 > 1130,1236
21:17:56.561 > 1234,1301
21:17:56.561 > 1272,1271
21:17:56.561 > 1267,1217
21:17:56.561 > 1220,1114
21:17:56.561 > 1106,927
21:17:56.561 > 950,788
21:17:56.561 > 760,552
21:17:56.561 > 541,295
21:17:56.561 > 285,49
21:17:56.561 > 54,-199
21:17:56.561 > -197,-447
21:17:56.572 > -444,-667
21:17:56.572 > -664,-901
21:17:56.572 > -879,-1089
21:17:56.572 > -1059,-1163
21:17:56.572 > -1184,-1278
21:17:56.572 > -1256,-1296
21:17:56.572 > -1287,-1268
21:17:56.572 > -1242,-1179
21:17:56.572 > -1173,-1028
21:17:56.572 > -1055,-882
21:17:56.572 > -877,-684
21:17:56.583 > -699,-478
21:17:56.583 > -472,-160
21:17:56.583 > -199,36
21:17:56.583 > 51,291
21:17:56.583 > 290,532
21:17:56.583 > 548,801
21:17:56.583 > 763,967
21:17:56.583 > 945,1120
21:17:56.583 > 1108,1229
21:17:56.583 > 1207,1263
21:17:56.583 > 1255,1301
21:17:56.583 > 1265,1220
21:17:56.583 > 1223,1137
21:17:56.583 > 1126,998
21:17:56.594 > 1000,840
21:17:56.594 > 819,618
21:17:56.594 > 608,364
21:17:56.594 > 375,118
21:17:56.594 > 115,-141
21:17:56.594 > -139,-352
21:17:56.594 > -386,-590
21:17:56.594 > -605,-854
21:17:56.594 > -838,-1013
21:17:56.594 > -1018,-1149
21:17:56.594 > -1153,-1237
21:17:56.594 > -1256,-1286
21:17:56.594 > -1286,-1265
21:17:56.605 > -1269,-1214
21:17:56.605 > -1214,-1064
21:17:56.605 > -1099,-943
21:17:56.605 > -934,-745
21:17:56.605 > -758,-529
21:17:56.605 > -522,-250
21:17:56.605 > -264,3
21:17:56.605 > -17,237
21:17:56.605 > 258,494
21:17:56.605 > 504,698
21:17:56.605 > 697,954
21:17:56.605 > 895,1074
21:17:56.605 > 1071,1198
21:17:56.617 > 1171,1248
21:17:56.617 > 1244,1291
21:17:56.617 > 1259,1255
21:17:56.617 > 1222,1162
21:17:56.617 > 1161,1064
21:17:56.617 > 1036,880
21:17:56.617 > 862,704
21:17:56.617 > 664,412
21:17:56.617 > 431,151
21:17:56.617 > 155,-80
21:17:56.617 > -101,-284
21:17:56.617 > -346,-555
21:17:56.617 > -579,-779
21:17:56.617 > -785,-964
21:17:56.628 > -966,-1133
21:17:56.628 > -1123,-1211
21:17:56.628 > -1232,-1290
21:17:56.628 > -1278,-1287
21:17:56.628 > -1294,-1240
21:17:56.628 > -1245,-1119
21:17:56.628 > -1136,-968
21:17:56.628 > -989,-791
21:17:56.628 > -792,-563
21:17:56.628 > -568,-305
21:17:56.628 > -323,-43
21:17:56.628 > -73,148
21:17:56.639 > 170,408
21:17:56.639 > 400,648
21:17:56.639 > 623,878
21:17:56.639 > 845,1046
21:17:56.639 > 1033,1181
21:17:56.639 > 1170,1275
21:17:56.639 > 1256,1299
21:17:56.639 > 1263,1277
21:17:56.639 > 1235,1187
21:17:56.639 > 1182,1092
21:17:56.639 > 1051,920
21:17:56.639 > 891,728
21:17:56.639 > 707,511
21:17:56.639 > 476,237
21:17:56.650 > 230,-9
21:17:56.650 > -2,-234
21:17:56.650 > -254,-493
21:17:56.650 > -507,-725
21:17:56.650 > -733,-951
21:17:56.650 > -950,-1104
21:17:56.650 > -1118,-1210
21:17:56.650 > -1224,-1262
21:17:56.650 > -1283,-1281
21:17:56.650 > -1287,-1216
21:17:56.650 > -1235,-1144
21:17:56.650 > -1157,-1014
21:17:56.661 > -1023,-867
21:17:56.661 > -843,-661
21:17:56.661 > -658,-398
21:17:56.661 > -424,-121
21:17:56.661 > -164,111
21:17:56.661 > 85,366
21:17:56.661 > 355,621
21:17:56.661 > 596,845
21:17:56.661 > 805,1005
21:17:56.661 > 994,1140
21:17:56.661 > 1132,1224
21:17:56.661 > 1208,1269
21:17:56.661 > 1237,1280
21:17:56.661 > 1246,1215
21:17:56.672 > 1207,1120
21:17:56.672 > 1118,981
21:17:56.672 > 971,800
21:17:56.672 > 766,574
21:17:56.672 > 553,291
21:17:56.672 > 297,35
21:17:56.672 > 17,-205
21:17:56.672 > -230,-445
21:17:56.672 > -454,-663
21:17:56.672 > -667,-892
21:17:56.672 > -873,-1029
21:17:56.672 > -1046,-1155
21:17:56.672 > -1177,-1267
21:17:56.683 > -1259,-1297
21:17:56.683 > -1291,-1274
21:17:56.683 > -1278,-1189
21:17:56.683 > -1207,-1065
21:17:56.683 > -1066,-887
21:17:56.683 > -889,-685
21:17:56.683 > -688,-435
21:17:56.683 > -451,-153
21:17:56.683 > -201,45
21:17:56.683 > 52,317
21:17:56.683 > 294,530
21:17:56.683 > 514,741
21:17:56.683 > 732,955
21:17:56.695 > 939,1118
21:17:56.695 > 1102,1235
21:17:56.695 > 1215,1307
21:17:56.695 > 1275,1313
21:17:56.695 > 1277,1220
21:17:56.695 > 1231,1142
21:17:56.695 > 1126,997
21:17:56.695 > 971,822
21:17:56.695 > 803,613
21:17:56.695 > 615,363
21:17:56.695 > 373,114
21:17:56.695 > 114,-112
21:17:56.695 > -129,-351
21:17:56.695 > -379,-617
21:17:56.705 > -612,-835
21:17:56.705 > -839,-1029
21:17:56.705 > -1039,-1169
21:17:56.705 > -1173,-1287
21:17:56.705 > -1253,-1292
21:17:56.705 > -1287,-1272
21:17:56.705 > -1269,-1192
21:17:56.705 > -1195,-1061
21:17:56.705 > -1083,-947
21:17:56.705 > -934,-734
21:17:56.705 > -759,-538
21:17:56.705 > -545,-273
21:17:56.717 > -294,-11
21:17:56.717 > -23,238
21:17:56.717 > 245,507
21:17:56.717 > 491,716
21:17:56.717 > 709,964
21:17:56.717 > 905,1073
21:17:56.717 > 1072,1195
21:17:56.717 > 1170,1242
21:17:56.717 > 1237,1259
21:17:56.717 > 1254,1248
21:17:56.717 > 1218,1179
21:17:56.717 > 1155,1075
21:17:56.717 > 1038,874
21:17:56.717 > 876,695
21:17:56.728 > 683,429
21:17:56.728 > 439,157
21:17:56.728 > 155,-83
21:17:56.728 > -92,-336
21:17:56.728 > -341,-561
21:17:56.728 > -574,-772
21:17:56.728 > -778,-956
21:17:56.728 > -969,-1133
21:17:56.728 > -1116,-1193
21:17:56.728 > -1220,-1306
21:17:56.728 > -1276,-1313
21:17:56.728 > -1299,-1233
21:17:56.739 > -1249,-1146
21:17:56.739 > -1144,-979
21:17:56.739 > -990,-797
21:17:56.739 > -792,-559
21:17:56.739 > -578,-331
21:17:56.739 > -321,-37
21:17:56.739 > -58,162
21:17:56.739 > 179,417
21:17:56.739 > 398,635
21:17:56.739 > 636,842
21:17:56.739 > 853,1031
21:17:56.739 > 1034,1185
21:17:56.739 > 1174,1281
21:17:56.739 > 1254,1268
21:17:56.750 > 1286,1299
21:17:56.750 > 1261,1182
21:17:56.750 > 1186,1079
21:17:56.750 > 1048,896
21:17:56.750 > 898,704
21:17:56.750 > 715,500
21:17:56.750 > 486,249
21:17:56.750 > 244,13
21:17:56.750 > -7,-272
21:17:56.750 > -253,-482
21:17:56.750 > -489,-725
21:17:56.750 > -720,-937
21:17:56.750 > -942,-1104
21:17:56.750 > -1097,-1226
21:17:56.761 > -1211,-1283
21:17:56.761 > -1277,-1294
21:17:56.761 > -1282,-1221
21:17:56.761 > -1242,-1178
21:17:56.761 > -1141,-997
21:17:56.761 > -1002,-854
21:17:56.761 > -836,-645
21:17:56.761 > -652,-422
21:17:56.761 > -396,-144
21:17:56.761 > -131,101
21:17:56.761 > 105,369
21:17:56.761 > 361,623
21:17:56.772 > 600,784
21:17:56.772 > 821,1032
21:17:56.772 > 1011,1133
21:17:56.772 > 1142,1234
21:17:56.772 > 1204,1266
21:17:56.772 > 1257,1254
21:17:56.772 > 1263,1226
21:17:56.772 > 1200,1101
21:17:56.772 > 1110,991
21:17:56.772 > 966,742
21:17:56.772 > 782,590
21:17:56.772 > 567,282
21:17:56.772 > 311,47
21:17:56.772 > 30,-197
21:17:56.784 > -202,-432
21:17:56.784 > -434,-672
21:17:56.784 > -675,-871
21:17:56.784 > -874,-1024
21:17:56.784 > -1044,-1212
21:17:56.784 > -1169,-1245
21:17:56.784 > -1246,-1302
21:17:56.784 > -1277,-1269
21:17:56.784 > -1273,-1208
21:17:56.784 > -1185,-1064
21:17:56.784 > -1052,-896
21:17:56.784 > -897,-687
21:17:56.794 > -691,-421
21:17:56.794 > -450,-207
21:17:56.794 > -191,71
21:17:56.794 > 58,298
21:17:56.794 > 309,542
21:17:56.794 > 522,745
21:17:56.794 > 743,966
21:17:56.794 > 948,1104
21:17:56.794 > 1097,1210
21:17:56.794 > 1216,1307
21:17:56.794 > 1277,1257
21:17:56.794 > 1280,1248
21:17:56.794 > 1239,1144
21:17:56.794 > 1149,1014
21:17:56.806 > 983,815
21:17:56.806 > 813,628
21:17:56.806 > 621,387
21:17:56.806 > 363,97
21:17:56.806 > 108,-102
21:17:56.806 > -132,-399
21:17:56.806 > -378,-599
21:17:56.806 > -606,-824
21:17:56.806 > -817,-1013
21:17:56.806 > -1028,-1175
21:17:56.806 > -1158,-1257
21:17:56.806 > -1229,-1296
21:17:56.806 > -1289,-1288
21:17:56.817 > -1277,-1181
21:17:56.817 > -1198,-1115
21:17:56.817 > -1080,-923
21:17:56.817 > -921,-738
21:17:56.817 > -734,-525
21:17:56.817 > -532,-273
21:17:56.817 > -263,12
21:17:56.817 > 8,230
21:17:56.817 > 239,467
21:17:56.817 > 479,729
21:17:56.817 > 709,890
21:17:56.817 > 911,1077
21:17:56.817 > 1072,1204
21:17:56.828 > 1198,1262
21:17:56.828 > 1260,1259
21:17:56.828 > 1288,1254
21:17:56.828 > 1258,1164
21:17:56.828 > 1160,1027
21:17:56.828 > 1033,897
21:17:56.828 > 880,640
21:17:56.828 > 682,446
21:17:56.828 > 432,175
21:17:56.828 > 179,-71
21:17:56.828 > -77,-338
21:17:56.828 > -314,-557
21:17:56.828 > -543,-769
21:17:56.828 > -773,-1008
21:17:56.839 > -963,-1118
21:17:56.839 > -1107,-1264
21:17:56.839 > -1214,-1290
21:17:56.839 > -1273,-1287
21:17:56.839 > -1271,-1224
21:17:56.839 > -1228,-1151
21:17:56.839 > -1114,-982
21:17:56.839 > -961,-797
21:17:56.839 > -793,-609
21:17:56.839 > -565,-341
21:17:56.839 > -303,-91
21:17:56.850 > -60,167
21:17:56.850 > 176,429
21:17:56.850 > 426,659
21:17:56.850 > 653,835
21:17:56.850 > 874,1031
21:17:56.850 > 1055,1169
21:17:56.850 > 1164,1225
21:17:56.850 > 1248,1269
21:17:56.850 > 1287,1247
21:17:56.850 > 1266,1235
21:17:56.850 > 1195,1095
21:17:56.850 > 1084,923
21:17:56.850 > 929,708
21:17:56.850 > 742,512
21:17:56.850 > 517,236
21:17:56.861 > 240,-46
21:17:56.861 > -18,-269
21:17:56.861 > -247,-531
21:17:56.861 > -498,-716
21:17:56.861 > -725,-929
21:17:56.861 > -909,-1079
21:17:56.861 > -1071,-1230
21:17:56.861 > -1186,-1271
21:17:56.861 > -1261,-1295
21:17:56.861 > -1290,-1282
21:17:56.861 > -1244,-1177
21:17:56.861 > -1143,-1031
21:17:56.872 > -1014,-850
21:17:56.872 > -847,-628
21:17:56.872 > -627,-400
21:17:56.872 > -374,-142
21:17:56.872 > -108,112
21:17:56.872 > 130,358
21:17:56.872 > 355,563
21:17:56.872 > 582,793
21:17:56.872 > 799,987
21:17:56.872 > 999,1150
21:17:56.872 > 1145,1244
21:17:56.872 > 1243,1293
21:17:56.872 > 1295,1256
21:17:56.883 > 1297,1215
21:17:56.883 > 1230,1113
21:17:56.883 > 1109,933
21:17:56.883 > 959,752
21:17:56.883 > 772,556
21:17:56.883 > 559,327
21:17:56.883 > 307,47
21:17:56.883 > 66,-192
21:17:56.883 > -162,-461
21:17:56.883 > -409,-664
21:17:56.883 > -656,-885
21:17:56.883 > -883,-1089
21:17:56.883 > -1067,-1210
21:17:56.883 > -1186,-1279
21:17:56.895 > -1249,-1294
21:17:56.895 > -1279,-1257
21:17:56.895 > -1238,-1176
21:17:56.895 > -1143,-1071
21:17:56.895 > -1029,-895
21:17:56.895 > -883,-698
21:17:56.895 > -699,-501
21:17:56.895 > -479,-217
21:17:56.895 > -221,49
21:17:56.895 > 49,296
21:17:56.895 > 302,549
21:17:56.895 > 551,763
21:17:56.895 > 783,943
21:17:56.905 > 974,1120
21:17:56.905 > 1116,1206
21:17:56.905 > 1202,1229
21:17:56.905 > 1252,1252
21:17:56.905 > 1272,1229
21:17:56.905 > 1236,1147
21:17:56.905 > 1142,1011
21:17:56.905 > 1013,834
21:17:56.905 > 848,612
21:17:56.905 > 634,391
21:17:56.905 > 375,98
21:17:56.905 > 107,-163
21:17:56.905 > -144,-415
21:17:56.905 > -385,-606
21:17:56.917 > -608,-824
21:17:56.917 > -806,-1005
21:17:56.917 > -973,-1153
21:17:56.917 > -1108,-1256
21:17:56.917 > -1221,-1302
21:17:56.917 > -1286,-1299
21:17:56.917 > -1279,-1240
21:17:56.917 > -1211,-1127
21:17:56.917 > -1092,-940
21:17:56.917 > -926,-739
21:17:56.917 > -733,-521
21:17:56.928 > -509,-263
21:17:56.928 > -238,-12
21:17:56.928 > 5,232
21:17:56.928 > 232,465
21:17:56.928 > 475,672
21:17:56.928 > 687,862
21:17:56.928 > 890,1080
21:17:56.928 > 1073,1192
21:17:56.928 > 1200,1265
21:17:56.928 > 1277,1272
21:17:56.928 > 1308,1257
21:17:56.928 > 1258,1169
21:17:56.928 > 1152,1063
21:17:56.928 > 1023,843
21:17:56.939 > 860,611
21:17:56.939 > 668,441
21:17:56.939 > 448,142
21:17:56.939 > 196,-67
21:17:56.939 > -59,-334
21:17:56.939 > -289,-539
21:17:56.939 > -543,-778
21:17:56.939 > -778,-1009
21:17:56.939 > -969,-1152
21:17:56.939 > -1131,-1263
21:17:56.939 > -1233,-1287
21:17:56.939 > -1275,-1283
21:17:56.939 > -1266,-1236
21:17:56.950 > -1211,-1114
21:17:56.950 > -1097,-982
21:17:56.950 > -963,-802
21:17:56.950 > -789,-626
21:17:56.950 > -570,-363
21:17:56.950 > -338,-69
21:17:56.950 > -81,184
21:17:56.950 > 174,417
21:17:56.950 > 426,666
21:17:56.950 > 663,867
21:17:56.950 > 875,1045
21:17:56.950 > 1040,1170
21:17:56.950 > 1164,1227
21:17:56.961 > 1248,1270
21:17:56.961 > 1263,1210
21:17:56.961 > 1243,1195
21:17:56.961 > 1190,1078
21:17:56.961 > 1085,931
21:17:56.961 > 927,728
21:17:56.961 > 746,514
21:17:56.961 > 518,233
21:17:56.961 > 238,-55
21:17:56.961 > -22,-251
21:17:56.961 > -275,-533
21:17:56.961 > -512,-713
21:17:56.961 > -716,-915
21:17:56.961 > -904,-1089
21:17:56.972 > -1076,-1206
21:17:56.972 > -1183,-1271
21:17:56.972 > -1246,-1312
21:17:56.972 > -1280,-1287
21:17:56.972 > -1244,-1168
21:17:56.972 > -1160,-1052
21:17:56.972 > -1027,-843
21:17:56.972 > -840,-633
21:17:56.972 > -616,-394
21:17:56.972 > -390,-110
21:17:56.972 > -127,120
21:17:56.972 > 136,358
21:17:56.983 > 365,563
21:17:56.983 > 585,820
21:17:56.983 > 779,974
21:17:56.983 > 975,1152
21:17:56.983 > 1139,1237
21:17:56.983 > 1247,1292
21:17:56.983 > 1278,1278
21:17:56.983 > 1270,1232
21:17:56.983 > 1216,1106
21:17:56.983 > 1103,934
21:17:56.983 > 956,791
21:17:56.983 > 749,536
21:17:56.983 > 547,330
21:17:56.983 > 310,54
21:17:56.994 > 57,-186
21:17:56.995 > -186,-438
21:17:56.995 > -422,-663
21:17:56.995 > -656,-884
21:17:56.995 > -882,-1088
21:17:56.995 > -1063,-1166
21:17:56.995 > -1197,-1288
21:17:56.995 > -1266,-1279
21:17:56.995 > -1284,-1295
21:17:56.995 > -1244,-1160
21:17:56.995 > -1173,-1053
21:17:56.995 > -1042,-876
21:17:57.006 > -876,-702
21:17:57.006 > -698,-497
21:17:57.006 > -477,-160
21:17:57.006 > -214,37
21:17:57.006 > 44,294
21:17:57.006 > 287,534
21:17:57.006 > 554,772
21:17:57.006 > 764,958
21:17:57.006 > 945,1130
21:17:57.006 > 1107,1218
21:17:57.006 > 1206,1240
21:17:57.006 > 1251,1272
21:17:57.006 > 1251,1211
21:17:57.006 > 1220,1151
21:17:57.017 > 1136,997
21:17:57.017 > 1009,844
21:17:57.017 > 821,623
21:17:57.017 > 615,405
21:17:57.017 > 400,99
21:17:57.017 > 129,-170
21:17:57.017 > -156,-350
21:17:57.017 > -406,-642
21:17:57.017 > -617,-823
21:17:57.017 > -819,-1021
21:17:57.017 > -986,-1146
21:17:57.017 > -1139,-1250
21:17:57.017 > -1238,-1284
21:17:57.028 > -1278,-1280
21:17:57.028 > -1277,-1246
21:17:57.028 > -1216,-1091
21:17:57.028 > -1106,-954
21:17:57.028 > -939,-739
21:17:57.028 > -744,-529
21:17:57.028 > -511,-282
21:17:57.028 > -265,2
21:17:57.028 > -11,243
21:17:57.028 > 244,489
21:17:57.028 > 478,674
21:17:57.028 > 693,921
21:17:57.028 > 895,1065
21:17:57.028 > 1067,1204
21:17:57.039 > 1179,1265
21:17:57.039 > 1269,1290
21:17:57.039 > 1282,1253
21:17:57.039 > 1241,1186
21:17:57.039 > 1166,1052
21:17:57.039 > 1029,835
21:17:57.039 > 862,698
21:17:57.039 > 665,436
21:17:57.039 > 443,144
21:17:57.039 > 191,-80
21:17:57.039 > -52,-300
21:17:57.039 > -315,-555
21:17:57.039 > -566,-770
21:17:57.050 > -768,-952
21:17:57.050 > -958,-1160
21:17:57.050 > -1125,-1202
21:17:57.050 > -1234,-1311
21:17:57.050 > -1291,-1286
21:17:57.050 > -1300,-1247
21:17:57.050 > -1218,-1120
21:17:57.050 > -1118,-982
21:17:57.050 > -984,-786
21:17:57.050 > -788,-571
21:17:57.050 > -575,-372
21:17:57.050 > -353,-26
21:17:57.061 > -105,175
21:17:57.061 > 165,419
21:17:57.061 > 406,655
21:17:57.061 > 648,852
21:17:57.061 > 850,1027
21:17:57.061 > 1017,1182
21:17:57.061 > 1164,1269
21:17:57.061 > 1254,1271
21:17:57.061 > 1271,1299
21:17:57.061 > 1243,1191
21:17:57.061 > 1191,1081
21:17:57.061 > 1070,909
21:17:57.061 > 915,740
21:17:57.061 > 719,504
21:17:57.072 > 499,261
21:17:57.072 > 254,-9
21:17:57.072 > -9,-269
21:17:57.072 > -264,-478
21:17:57.072 > -505,-717
21:17:57.072 > -714,-911
21:17:57.072 > -933,-1087
21:17:57.072 > -1098,-1192
21:17:57.072 > -1216,-1269
21:17:57.072 > -1286,-1296
21:17:57.072 > -1286,-1229
21:17:57.072 > -1245,-1173
21:17:57.072 > -1161,-997
21:17:57.083 > -1022,-859
21:17:57.083 > -837,-648
21:17:57.083 > -643,-421
21:17:57.083 > -410,-113
21:17:57.083 > -151,117
21:17:57.083 > 99,367
21:17:57.083 > 361,612
21:17:57.083 > 603,827
21:17:57.083 > 792,1020
21:17:57.083 > 975,1147
21:17:57.083 > 1132,1234
21:17:57.083 > 1215,1286
21:17:57.083 > 1256,1286
21:17:57.094 > 1249,1239
21:17:57.094 > 1197,1103
21:17:57.094 > 1109,985
21:17:57.094 > 964,778
21:17:57.094 > 769,598
21:17:57.094 > 554,325
21:17:57.094 > 309,47
21:17:57.094 > 31,-201
21:17:57.094 > -213,-437
21:17:57.094 > -455,-668
21:17:57.094 > -682,-873
21:17:57.094 > -865,-1013
21:17:57.094 > -1039,-1164
21:17:57.094 > -1183,-1241
21:17:57.106 > -1265,-1289
21:17:57.106 > -1284,-1280
21:17:57.106 > -1279,-1188
21:17:57.106 > -1209,-1051
21:17:57.106 > -1071,-886
21:17:57.106 > -902,-693
21:17:57.106 > -696,-443
21:17:57.106 > -462,-210
21:17:57.106 > -212,69
21:17:57.106 > 41,289
21:17:57.106 > 293,529
21:17:57.106 > 517,736
21:17:57.117 > 727,942
21:17:57.117 > 934,1124
21:17:57.117 > 1101,1219
21:17:57.117 > 1212,1306
21:17:57.117 > 1265,1299
21:17:57.117 > 1262,1256
21:17:57.117 > 1230,1137
21:17:57.117 > 1143,997
21:17:57.117 > 982,819
21:17:57.117 > 794,624
21:17:57.117 > 591,388
21:17:57.117 > 371,114
21:17:57.117 > 125,-104
21:17:57.117 > -130,-351
21:17:57.117 > -384,-598
21:17:57.128 > -620,-829
21:17:57.128 > -819,-1017
21:17:57.128 > -1026,-1167
21:17:57.128 > -1186,-1241
21:17:57.128 > -1259,-1289
21:17:57.128 > -1285,-1283
21:17:57.128 > -1270,-1195
21:17:57.128 > -1209,-1065
21:17:57.128 > -1099,-887
21:17:57.128 > -940,-754
21:17:57.128 > -761,-536
21:17:57.139 > -554,-297
21:17:57.139 > -295,-9
21:17:57.139 > -27,240
21:17:57.139 > 232,511
21:17:57.139 > 486,751
21:17:57.139 > 711,934
21:17:57.139 > 897,1077
21:17:57.139 > 1065,1197
21:17:57.139 > 1182,1256
21:17:57.139 > 1229,1271
21:17:57.139 > 1239,1261
21:17:57.139 > 1227,1171
21:17:57.139 > 1167,1050
21:17:57.139 > 1040,906
21:17:57.150 > 878,705
21:17:57.150 > 674,477
21:17:57.150 > 441,208
21:17:57.150 > 185,-82
21:17:57.150 > -89,-329
21:17:57.150 > -351,-566
21:17:57.150 > -576,-775
21:17:57.150 > -771,-953
21:17:57.150 > -952,-1093
21:17:57.150 > -1108,-1183
21:17:57.150 > -1225,-1289
21:17:57.150 > -1283,-1285
21:17:57.150 > -1294,-1218
21:17:57.161 > -1264,-1134
21:17:57.161 > -1159,-975
21:17:57.161 > -988,-786
21:17:57.161 > -795,-621
21:17:57.161 > -572,-330
21:17:57.161 > -338,-32
21:17:57.161 > -89,162
21:17:57.161 > 171,414
21:17:57.161 > 405,655
21:17:57.161 > 624,854
21:17:57.161 > 823,1041
21:17:57.161 > 1020,1180
21:17:57.161 > 1173,1280
21:17:57.172 > 1258,1301
21:17:57.172 > 1290,1304
21:17:57.172 > 1263,1200
21:17:57.172 > 1192,1067
21:17:57.172 > 1063,881
21:17:57.172 > 889,711
21:17:57.172 > 690,501
