21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:55.828 > 770,513
21:17:55.828 > 528,303
21:17:55.828 > 260,43
21:17:55.828 > 31,-212
21:17:55.828 > -206,-460
21:17:55.828 > -467,-703
21:17:55.828 > -692,-870
21:17:55.828 > -885,-1074
21:17:55.828 > -1043,-1154
21:17:55.828 > -1163,-1274
21:17:55.828 > -1249,-1286
21:17:55.828 > -1303,-1276
21:17:55.839 > -1265,-1192
21:17:55.839 > -1178,-1067
21:17:55.839 > -1060,-888
21:17:55.839 > -876,-653
21:17:55.839 > -660,-466
21:17:55.839 > -428,-171
21:17:55.839 > -194,39
21:17:55.839 > 48,301
21:17:55.839 > 278,557
21:17:55.839 > 547,775
21:17:55.839 > 777,964
21:17:55.839 > 944,1110
21:17:55.839 > 1106,1246
21:17:55.839 > 1218,1245
21:17:55.850 > 1272,1288
21:17:55.850 > 1281,1218
21:17:55.850 > 1231,1145
21:17:55.850 > 1112,989
21:17:55.850 > 989,817
21:17:55.850 > 805,581
21:17:55.850 > 574,355
21:17:55.850 > 357,143
21:17:55.850 > 117,-144
21:17:55.850 > -121,-348
21:17:55.850 > -383,-654
21:17:55.850 > -634,-840
21:17:55.850 > -842,-1039
21:17:55.850 > -1007,-1165
21:17:55.861 > -1155,-1223
21:17:55.861 > -1254,-1298
21:17:55.861 > -1280,-1247
21:17:55.861 > -1258,-1219
21:17:55.861 > -1192,-1082
21:17:55.861 > -1082,-933
21:17:55.861 > -923,-706
21:17:55.861 > -741,-516
21:17:55.861 > -496,-253
21:17:55.861 > -236,-9
21:17:55.861 > 18,212
21:17:55.861 > 262,532
21:17:55.872 > 498,695
21:17:55.872 > 728,931
21:17:55.872 > 920,1087
21:17:55.872 > 1081,1201
21:17:55.872 > 1191,1244
21:17:55.872 > 1270,1273
21:17:55.872 > 1287,1256
21:17:55.872 > 1242,1165
21:17:55.872 > 1167,1073
21:17:55.872 > 1043,840
21:17:55.872 > 856,655
21:17:55.872 > 644,412
21:17:55.872 > 423,173
21:17:55.872 > 168,-87
21:17:55.883 > -70,-319
21:17:55.883 > -315,-578
21:17:55.883 > -586,-808
21:17:55.883 > -804,-951
21:17:55.883 > -969,-1158
21:17:55.883 > -1116,-1257
21:17:55.883 > -1222,-1289
21:17:55.883 > -1266,-1281
21:17:55.883 > -1285,-1252
21:17:55.883 > -1221,-1131
21:17:55.883 > -1109,-977
21:17:55.883 > -982,-818
21:17:55.894 > -781,-534
21:17:55.894 > -554,-349
21:17:55.894 > -311,-72
21:17:55.894 > -65,177
21:17:55.894 > 180,431
21:17:55.894 > 436,657
21:17:55.894 > 685,869
21:17:55.894 > 883,1040
21:17:55.894 > 1037,1153
21:17:55.894 > 1164,1260
21:17:55.894 > 1249,1227
21:17:55.894 > 1279,1295
21:17:55.894 > 1252,1207
21:17:55.894 > 1198,1084
21:17:55.906 > 1078,883
21:17:55.906 > 924,703
21:17:55.906 > 718,476
21:17:55.906 > 467,220
21:17:55.906 > 231,-19
21:17:55.906 > -3,-291
21:17:55.906 > -246,-514
21:17:55.906 > -507,-747
21:17:55.906 > -732,-936
21:17:55.906 > -921,-1108
21:17:55.906 > -1070,-1212
21:17:55.906 > -1193,-1271
21:17:55.906 > -1278,-1325
21:17:55.917 > -1306,-1248
21:17:55.917 > -1254,-1191
21:17:55.917 > -1142,-1012
21:17:55.917 > -1009,-852
21:17:55.917 > -814,-594
21:17:55.917 > -592,-399
21:17:55.917 > -359,-128
21:17:55.917 > -118,116
21:17:55.917 > 100,323
21:17:55.917 > 346,600
21:17:55.917 > 610,799
21:17:55.917 > 833,1003
21:17:55.917 > 1002,1154
21:17:55.928 > 1149,1248
21:17:55.928 > 1248,1263
21:17:55.928 > 1284,1271
21:17:55.928 > 1273,1230
21:17:55.928 > 1208,1079
21:17:55.928 > 1099,946
21:17:55.928 > 953,744
21:17:55.928 > 760,533
21:17:55.928 > 533,309
21:17:55.928 > 304,53
21:17:55.928 > 66,-216
21:17:55.928 > -190,-449
21:17:55.928 > -460,-712
21:17:55.928 > -697,-918
21:17:55.939 > -889,-1076
21:17:55.939 > -1054,-1201
21:17:55.939 > -1175,-1258
21:17:55.939 > -1250,-1283
21:17:55.939 > -1268,-1260
21:17:55.939 > -1228,-1190
21:17:55.939 > -1156,-1073
21:17:55.939 > -1047,-892
21:17:55.939 > -891,-704
21:17:55.939 > -680,-449
21:17:55.939 > -433,-203
21:17:55.950 > -180,45
21:17:55.950 > 66,309
21:17:55.950 > 320,566
21:17:55.950 > 586,765
21:17:55.950 > 804,969
21:17:55.950 > 963,1105
21:17:55.950 > 1106,1186
21:17:55.950 > 1209,1249
21:17:55.950 > 1265,1266
21:17:55.950 > 1275,1228
21:17:55.950 > 1231,1159
21:17:55.950 > 1151,1012
21:17:55.950 > 1027,824
21:17:55.950 > 830,606
21:17:55.961 > 590,353
21:17:55.961 > 365,80
21:17:55.961 > 121,-157
21:17:55.961 > -136,-403
21:17:55.961 > -374,-646
21:17:55.961 > -617,-836
21:17:55.961 > -826,-1022
21:17:55.961 > -986,-1176
21:17:55.961 > -1132,-1244
21:17:55.961 > -1239,-1300
21:17:55.961 > -1285,-1329
21:17:55.961 > -1272,-1246
21:17:55.961 > -1212,-1095
21:17:55.972 > -1094,-929
21:17:55.972 > -924,-719
21:17:55.972 > -704,-497
21:17:55.972 > -458,-272
21:17:55.972 > -227,6
21:17:55.972 > -2,237
21:17:55.972 > 235,453
21:17:55.972 > 502,704
21:17:55.972 > 736,927
21:17:55.972 > 926,1083
21:17:55.972 > 1090,1208
21:17:55.972 > 1211,1261
21:17:55.972 > 1290,1272
21:17:55.972 > 1296,1285
21:17:55.983 > 1243,1153
21:17:55.983 > 1156,1028
21:17:55.983 > 1020,835
21:17:55.983 > 856,644
21:17:55.983 > 658,418
21:17:55.983 > 425,174
21:17:55.983 > 198,-71
21:17:55.983 > -35,-354
21:17:55.983 > -303,-595
21:17:55.983 > -588,-818
21:17:55.983 > -814,-1014
21:17:55.983 > -980,-1165
21:17:55.983 > -1123,-1225
21:17:55.994 > -1218,-1290
21:17:55.994 > -1262,-1277
21:17:55.994 > -1251,-1220
21:17:55.994 > -1183,-1121
21:17:55.994 > -1106,-974
21:17:55.994 > -981,-811
21:17:55.994 > -779,-607
21:17:55.994 > -558,-351
21:17:55.994 > -317,-52
21:17:55.994 > -64,171
21:17:55.994 > 189,424
21:17:55.994 > 447,688
21:17:55.994 > 697,879
21:17:56.005 > 885,1033
21:17:56.005 > 1032,1145
21:17:56.005 > 1162,1230
21:17:56.005 > 1236,1239
21:17:56.005 > 1263,1272
21:17:56.005 > 1251,1191
21:17:56.005 > 1201,1082
21:17:56.005 > 1092,923
21:17:56.005 > 943,706
21:17:56.005 > 722,468
21:17:56.005 > 462,211
21:17:56.005 > 222,-32
21:17:56.005 > -27,-292
21:17:56.005 > -269,-493
21:17:56.017 > -511,-741
21:17:56.017 > -738,-925
21:17:56.017 > -924,-1084
21:17:56.017 > -1063,-1201
21:17:56.017 > -1186,-1279
21:17:56.017 > -1276,-1324
21:17:56.017 > -1292,-1255
21:17:56.017 > -1257,-1196
21:17:56.017 > -1155,-1005
21:17:56.017 > -1006,-843
21:17:56.017 > -822,-598
21:17:56.028 > -599,-367
21:17:56.028 > -355,-109
21:17:56.028 > -123,105
21:17:56.028 > 107,331
21:17:56.028 > 351,625
21:17:56.028 > 570,795
21:17:56.028 > 796,1002
21:17:56.028 > 1006,1146
21:17:56.028 > 1160,1236
21:17:56.028 > 1243,1293
21:17:56.028 > 1286,1260
21:17:56.028 > 1275,1218
21:17:56.028 > 1201,1090
21:17:56.028 > 1103,966
21:17:56.039 > 949,747
21:17:56.039 > 750,544
21:17:56.039 > 534,308
21:17:56.039 > 307,40
21:17:56.039 > 59,-189
21:17:56.039 > -175,-428
21:17:56.039 > -431,-711
21:17:56.039 > -691,-927
21:17:56.039 > -889,-1035
21:17:56.039 > -1067,-1204
21:17:56.039 > -1191,-1258
21:17:56.039 > -1260,-1283
21:17:56.039 > -1269,-1258
21:17:56.050 > -1248,-1169
21:17:56.050 > -1170,-1053
21:17:56.050 > -1054,-894
21:17:56.050 > -905,-698
21:17:56.050 > -682,-438
21:17:56.050 > -448,-208
21:17:56.050 > -192,60
21:17:56.050 > 62,299
21:17:56.050 > 318,536
21:17:56.050 > 567,785
21:17:56.050 > 783,975
21:17:56.050 > 964,1114
21:17:56.050 > 1107,1184
21:17:56.061 > 1213,1299
21:17:56.061 > 1256,1244
21:17:56.061 > 1263,1232
21:17:56.061 > 1226,1149
21:17:56.061 > 1151,1010
21:17:56.061 > 1008,836
21:17:56.061 > 825,603
21:17:56.061 > 606,351
21:17:56.061 > 353,67
21:17:56.061 > 103,-118
21:17:56.061 > -154,-413
21:17:56.061 > -390,-615
21:17:56.061 > -628,-848
21:17:56.061 > -831,-1004
21:17:56.072 > -1011,-1152
21:17:56.072 > -1152,-1239
21:17:56.072 > -1235,-1296
21:17:56.072 > -1282,-1321
21:17:56.072 > -1276,-1180
21:17:56.072 > -1221,-1115
21:17:56.072 > -1103,-924
21:17:56.072 > -936,-743
21:17:56.072 > -707,-485
21:17:56.072 > -484,-262
21:17:56.072 > -253,3
21:17:56.072 > -3,231
21:17:56.084 > 232,438
21:17:56.084 > 486,748
21:17:56.084 > 709,899
21:17:56.084 > 906,1071
21:17:56.084 > 1070,1202
21:17:56.084 > 1202,1275
21:17:56.084 > 1268,1286
21:17:56.084 > 1277,1264
21:17:56.084 > 1251,1164
21:17:56.084 > 1157,992
21:17:56.084 > 1021,893
21:17:56.084 > 854,635
21:17:56.084 > 648,410
21:17:56.084 > 411,162
21:17:56.095 > 177,-73
21:17:56.095 > -73,-300
21:17:56.095 > -320,-546
21:17:56.095 > -570,-785
21:17:56.095 > -802,-1013
21:17:56.095 > -983,-1111
21:17:56.095 > -1130,-1241
21:17:56.095 > -1228,-1297
21:17:56.095 > -1285,-1282
21:17:56.095 > -1264,-1212
21:17:56.095 > -1216,-1135
21:17:56.095 > -1126,-979
21:17:56.106 > -974,-793
21:17:56.106 > -785,-559
21:17:56.106 > -562,-297
21:17:56.106 > -322,-76
21:17:56.106 > -76,179
21:17:56.106 > 159,422
21:17:56.106 > 416,692
21:17:56.106 > 658,874
21:17:56.106 > 866,1050
21:17:56.106 > 1045,1184
21:17:56.106 > 1168,1217
21:17:56.106 > 1240,1301
21:17:56.106 > 1261,1254
